,AAPL,MSFT
2022-07-16 00:00:00+00:00,131.21184549009413,233.0015377172744
2022-07-17 00:00:00+00:00,131.12265994669755,232.9151404328342
2022-07-18 00:00:00+00:00,131.03441078344835,232.82992254425199
2022-07-19 00:00:00+00:00,130.947090961976,232.7458720127585
2022-07-20 00:00:00+00:00,130.86069346426075,232.66297688606534
2022-07-21 00:00:00+00:00,130.7752112931051,232.58122529818027
2022-07-22 00:00:00+00:00,130.6906374725932,232.50060546921515
2022-07-23 00:00:00+00:00,130.60696504853934,232.42110570518759
2022-07-24 00:00:00+00:00,130.5241870889248,232.34271439781526
2022-07-25 00:00:00+00:00,130.44229668432405,232.26542002430398
2022-07-26 00:00:00+00:00,130.3612869483198,232.18921114712927
2022-07-27 00:00:00+00:00,130.28115101790752,232.11407641381177
2022-07-28 00:00:00+00:00,130.20188205388922,232.04000455668614
2022-07-29 00:00:00+00:00,130.12347324125702,231.96698439266453
2022-07-30 00:00:00+00:00,130.04591778956603,231.89500482299383
2022-07-31 00:00:00+00:00,129.96920893329786,231.82405483300732
2022-08-01 00:00:00+00:00,129.8933399322134,231.7541234918707
2022-08-02 00:00:00+00:00,129.81830407169608,231.6851999523229
2022-08-03 00:00:00+00:00,129.74409466308575,231.61727345041137
2022-08-04 00:00:00+00:00,129.67070504400232,231.55033330522235
2022-08-05 00:00:00+00:00,129.59812857866098,231.48436891860604
2022-08-06 00:00:00+00:00,129.52635865817712,231.41936977489695
2022-08-07 00:00:00+00:00,129.45538870086298,231.35532544062946
2022-08-08 00:00:00+00:00,129.3852121525149,231.2922255642487
2022-08-09 00:00:00+00:00,129.31582248669173,231.23005987581698
2022-08-10 00:00:00+00:00,129.24721320498486,231.16881818671564
2022-08-11 00:00:00+00:00,129.1793778372792,231.10849038934307
2022-08-12 00:00:00+00:00,129.11230994200622,231.049066456808
2022-08-13 00:00:00+00:00,129.04600310638824,230.99053644261903
2022-08-14 00:00:00+00:00,128.98045094667484,230.9328904803705
2022-08-15 00:00:00+00:00,128.9156471083711,230.876118783424
2022-08-16 00:00:00+00:00,128.85158526645802,230.82021164458666
2022-08-17 00:00:00+00:00,128.78825912560472,230.76515943578542
2022-08-18 00:00:00+00:00,128.72566242037377,230.71095260773825
2022-08-19 00:00:00+00:00,128.66378891541802,230.65758168962174
2022-08-20 00:00:00+00:00,128.60263240567068,230.60503728873553
2022-08-21 00:00:00+00:00,128.5421867165278,230.5533100901633
2022-08-22 00:00:00+00:00,128.48244570402343,230.50239085643122
2022-08-23 00:00:00+00:00,128.42340325499822,230.45227042716283
2022-08-24 00:00:00+00:00,128.36505328726022,230.40293971873166
2022-08-25 00:00:00+00:00,128.30738974973957,230.35438972391046
2022-08-26 00:00:00+00:00,128.25040662263595,230.3066115115182
2022-08-27 00:00:00+00:00,128.19409791755973,230.2595962260646
2022-08-28 00:00:00+00:00,128.13845767766634,230.2133350873914
2022-08-29 00:00:00+00:00,128.08347997778438,230.16781939031233
2022-08-30 00:00:00+00:00,128.02915892453726,230.12304050424984
2022-08-31 00:00:00+00:00,127.97548865645888,230.07898987287007
2022-09-01 00:00:00+00:00,127.9224633441028,230.03565901371573
2022-09-02 00:00:00+00:00,127.87007719014596,229.99303951783673
