Date,AAPL,MSFT
2023-11-09 00:00:00+00:00,142.32359425553165,253.01258841617116
2023-11-10 00:00:00+00:00,142.31158226328523,253.01760635643905
2023-11-13 00:00:00+00:00,142.29980604589474,253.0227326317684
2023-11-14 00:00:00+00:00,142.28826262201534,253.0279650213386
2023-11-15 00:00:00+00:00,142.27694904122686,253.0333013327993
2023-11-16 00:00:00+00:00,142.26586238375623,253.03873940197298
2023-11-17 00:00:00+00:00,142.25499976020222,253.04427709255927
2023-11-20 00:00:00+00:00,142.24435831126215,253.049912295843
2023-11-21 00:00:00+00:00,142.23393520746077,253.05564293040408
2023-11-22 00:00:00+00:00,142.22372764888135,253.06146694183062
2023-11-24 00:00:00+00:00,142.2137328648988,253.06738230243423
2023-11-27 00:00:00+00:00,142.20394811391478,253.07338701096802
2023-11-28 00:00:00+00:00,142.19437068309514,253.07947909234738
2023-11-29 00:00:00+00:00,142.18499788810914,253.08565659737306
2023-11-30 00:00:00+00:00,142.1758270728708,253.0919176024568
2023-12-01 00:00:00+00:00,142.16685560928244,253.09826020934935
2023-12-04 00:00:00+00:00,142.15808089698,253.1046825448717
2023-12-05 00:00:00+00:00,142.14950036308065,253.11118276064767
2023-12-06 00:00:00+00:00,142.14111146193196,253.1177590328397
2023-12-07 00:00:00+00:00,142.1329116748635,253.12440956188695
2023-12-08 00:00:00+00:00,142.12489850994018,253.13113257224552
2023-12-11 00:00:00+00:00,142.11706950171765,253.13792631213164
2023-12-12 00:00:00+00:00,142.10942221099944,253.1447890532664
2023-12-13 00:00:00+00:00,142.10195422459626,253.15171909062357
2023-12-14 00:00:00+00:00,142.09466315508706,253.1587147421796
2023-12-15 00:00:00+00:00,142.08754664058213,253.1657743486653
2023-12-18 00:00:00+00:00,142.080602344488,253.1728962733209
2023-12-19 00:00:00+00:00,142.07382795527414,253.18007890165254
2023-12-20 00:00:00+00:00,142.06722118624174,253.1873206411912
2023-12-21 00:00:00+00:00,142.06077977529415,253.19461992125414
2023-12-22 00:00:00+00:00,142.05450148470922,253.20197519270837
2023-12-26 00:00:00+00:00,142.04838410091358,253.20938492773612
2023-12-27 00:00:00+00:00,142.0424254342585,253.21684761960313
2023-12-28 00:00:00+00:00,142.03662331879775,253.22436178242808
2023-12-29 00:00:00+00:00,142.03097561206727,253.2319259509555
